Year,Month,Day,Time,North,South,East,West,Central
2014,1,1,0000,31,30,29,30,29
2014,1,1,0100,38,30,33,27,29
2014,1,1,0200,38,29,33,27,29
2014,1,1,0300,37,29,33,27,29
2014,1,1,0400,38,30,33,27,29
2014,1,1,0500,38,30,33,27,29
2014,1,1,0600,38,30,33,27,29
2014,1,1,0700,37,30,33,27,29
2014,1,1,0800,37,30,33,27,29
2014,1,1,0900,37,30,33,27,29
2014,1,1,1000,36,30,32,27,29
2014,1,1,1100,36,30,32,27,29
2014,1,1,1200,35,30,32,27,29
2014,1,1,1300,35,30,31,27,29
2014,1,1,1400,35,30,31,27,30
2014,1,1,1500,34,30,31,28,29
2014,1,1,1600,34,30,31,29,29
2014,1,1,1700,33,30,31,28,30
2014,1,1,1800,33,30,30,29,29
2014,1,1,1900,32,29,30,28,29
2014,1,1,2000,31,29,30,29,28
2014,1,1,2100,31,29,29,29,29
2014,1,1,2200,31,30,29,30,29
2014,1,1,2300,31,30,29,30,29
2014,1,2,0000,38,35,34,34,34
2014,1,2,0100,32,30,29,30,29
2014,1,2,0200,32,31,29,31,30
2014,1,2,0300,32,31,29,31,30
2014,1,2,0400,32,31,30,31,30
2014,1,2,0500,32,32,30,31,31
2014,1,2,0600,33,32,30,31,31
2014,1,2,0700,33,32,30,31,31
2014,1,2,0800,34,32,30,31,31
2014,1,2,0900,35,33,31,32,31
2014,1,2,1000,36,33,31,32,31
2014,1,2,1100,37,33,31,33,32
2014,1,2,1200,37,33,32,34,32
2014,1,2,1300,37,33,32,34,32
2014,1,2,1400,37,34,32,34,33
2014,1,2,1500,38,34,32,34,33
2014,1,2,1600,38,34,33,34,33
2014,1,2,1700,38,34,33,34,33
2014,1,2,1800,38,34,33,34,33
2014,1,2,1900,38,34,34,34,33
2014,1,2,2000,38,35,34,34,33
2014,1,2,2100,38,35,34,34,34
2014,1,2,2200,38,35,35,34,34
2014,1,2,2300,38,35,34,34,34
2014,1,3,0000,35,26,30,29,26
2014,1,3,0100,38,35,34,34,34
2014,1,3,0200,38,35,35,34,34
2014,1,3,0300,39,35,35,34,34
2014,1,3,0400,40,35,35,35,34
2014,1,3,0500,40,35,35,35,34
2014,1,3,0600,40,34,35,35,33
2014,1,3,0700,39,34,35,35,33
2014,1,3,0800,39,34,35,35,33
2014,1,3,0900,38,33,35,35,33
2014,1,3,1000,38,33,35,35,33
2014,1,3,1100,38,33,35,35,32
2014,1,3,1200,38,33,35,35,32
2014,1,3,1300,38,33,35,34,32
2014,1,3,1400,38,33,35,34,32
2014,1,3,1500,37,32,35,34,32
2014,1,3,1600,37,31,34,34,32
2014,1,3,1700,37,31,33,34,31
2014,1,3,1800,37,30,33,33,31
2014,1,3,1900,37,29,32,33,30
2014,1,3,2000,37,29,32,32,29
2014,1,3,2100,36,28,31,31,29
2014,1,3,2200,36,27,31,31,28
2014,1,3,2300,36,27,30,30,27
2014,1,4,0000,27,23,26,22,24
2014,1,4,0100,33,25,29,28,25
2014,1,4,0200,32,24,29,28,25
2014,1,4,0300,31,23,28,27,24
2014,1,4,0400,30,23,28,26,23
2014,1,4,0500,30,22,27,25,23
2014,1,4,0600,30,22,26,24,23
2014,1,4,0700,29,22,26,23,23
2014,1,4,0800,29,22,25,23,22
2014,1,4,0900,28,22,25,23,22
2014,1,4,1000,28,22,24,22,22
2014,1,4,1100,27,21,24,22,22
2014,1,4,1200,27,21,24,22,22
2014,1,4,1300,27,21,25,22,22
2014,1,4,1400,27,21,24,22,22
2014,1,4,1500,27,21,25,22,21
2014,1,4,1600,27,21,25,22,21
2014,1,4,1700,27,22,25,23,22
2014,1,4,1800,27,22,25,23,22
2014,1,4,1900,27,22,26,23,22
2014,1,4,2000,27,22,26,23,23
2014,1,4,2100,28,23,26,22,23
2014,1,4,2200,27,23,26,22,23
2014,1,4,2300,27,23,26,22,23
2014,1,5,0000,14,12,16,13,12
2014,1,5,0100,28,23,26,22,24
2014,1,5,0200,28,23,26,22,24
2014,1,5,0300,28,23,26,22,24
2014,1,5,0400,28,23,25,22,24
2014,1,5,0500,27,23,25,22,23
2014,1,5,0600,27,23,25,22,23
2014,1,5,0700,26,22,24,22,22
2014,1,5,0800,25,21,24,21,22
2014,1,5,0900,24,20,24,21,21
2014,1,5,1000,23,19,23,20,20
2014,1,5,1100,22,19,23,19,19
2014,1,5,1200,22,18,22,18,18
2014,1,5,1300,21,17,22,17,18
2014,1,5,1400,20,17,21,16,17
2014,1,5,1500,20,16,21,15,17
2014,1,5,1600,19,16,20,14,16
2014,1,5,1700,18,15,19,13,15
2014,1,5,1800,17,14,19,13,14
2014,1,5,1900,16,14,18,12,14
2014,1,5,2000,15,13,17,12,13
2014,1,5,2100,14,13,16,12,13
2014,1,5,2200,15,12,16,13,12
2014,1,5,2300,15,12,16,13,12
2014,1,6,0000,25,22,22,21,22
2014,1,6,0100,15,12,15,12,12
2014,1,6,0200,14,12,14,12,12
2014,1,6,0300,14,11,14,12,11
2014,1,6,0400,13,10,13,11,10
2014,1,6,0500,13,10,13,10,11
2014,1,6,0600,13,10,13,10,10
2014,1,6,0700,13,10,12,9,10
2014,1,6,0800,13,10,12,9,10
2014,1,6,0900,13,10,11,9,11
2014,1,6,1000,14,11,12,10,11
2014,1,6,1100,15,11,12,10,12
2014,1,6,1200,16,12,13,11,13
2014,1,6,1300,17,12,14,12,13
2014,1,6,1400,18,14,14,13,14
2014,1,6,1500,19,15,15,14,15
2014,1,6,1600,19,15,16,15,16
2014,1,6,1700,20,16,17,15,17
2014,1,6,1800,21,17,17,16,18
2014,1,6,1900,21,18,18,16,19
2014,1,6,2000,22,19,19,17,19
2014,1,6,2100,23,20,20,18,20
2014,1,6,2200,23,20,21,19,21
2014,1,6,2300,24,21,22,20,22
2014,1,7,0000,39,35,34,34,31
2014,1,7,0100,25,23,24,22,23
2014,1,7,0200,26,24,25,22,23
2014,1,7,0300,27,25,26,24,25
2014,1,7,0400,29,26,28,25,25
2014,1,7,0500,30,27,29,26,26
2014,1,7,0600,32,28,30,27,26
2014,1,7,0700,32,29,31,28,27
2014,1,7,0800,33,30,32,29,28
2014,1,7,0900,34,32,33,30,29
2014,1,7,1000,35,32,34,31,30
2014,1,7,1100,36,33,34,31,30
2014,1,7,1200,36,33,34,32,31
2014,1,7,1300,36,34,34,32,31
2014,1,7,1400,36,34,34,32,31
2014,1,7,1500,37,34,34,32,31
2014,1,7,1600,37,34,34,32,31
2014,1,7,1700,38,35,34,33,31
2014,1,7,1800,38,35,35,34,31
2014,1,7,1900,39,35,35,35,31
2014,1,7,2000,39,35,35,34,31
2014,1,7,2100,39,36,34,35,31
2014,1,7,2200,39,36,34,35,31
2014,1,7,2300,40,35,34,34,31
2014,1,8,0000,33,26,28,29,25
2014,1,8,0100,39,35,34,33,32
2014,1,8,0200,39,34,34,33,31
2014,1,8,0300,39,34,33,33,31
2014,1,8,0400,38,34,33,33,31
2014,1,8,0500,38,34,33,32,31
2014,1,8,0600,38,34,34,32,32
2014,1,8,0700,38,34,33,32,32
2014,1,8,0800,38,33,33,32,32
2014,1,8,0900,37,33,33,33,31
2014,1,8,1000,37,33,33,33,31
2014,1,8,1100,36,32,33,33,31
2014,1,8,1200,36,32,33,33,30
2014,1,8,1300,36,32,33,33,29
2014,1,8,1400,35,31,32,32,29
2014,1,8,1500,35,31,32,32,29
2014,1,8,1600,35,30,32,32,28
2014,1,8,1700,34,29,31,31,28
2014,1,8,1800,33,28,30,30,27
2014,1,8,1900,33,28,30,30,27
2014,1,8,2000,33,27,30,30,27
2014,1,8,2100,33,27,29,30,26
2014,1,8,2200,33,26,29,29,25
2014,1,8,2300,33,26,28,29,25
2014,1,9,0000,24,17,22,18,16
2014,1,9,0100,32,25,27,29,24
2014,1,9,0200,31,25,27,28,23
2014,1,9,0300,31,24,26,28,23
2014,1,9,0400,30,24,25,28,22
2014,1,9,0500,30,23,25,27,22
2014,1,9,0600,29,22,24,26,21
2014,1,9,0700,28,22,23,26,20
2014,1,9,0800,28,21,22,24,20
2014,1,9,0900,28,21,21,24,19
2014,1,9,1000,27,20,21,23,19
2014,1,9,1100,26,20,20,22,18
2014,1,9,1200,26,19,20,22,18
2014,1,9,1300,26,18,19,21,17
2014,1,9,1400,26,18,19,21,17
2014,1,9,1500,25,18,18,20,17
2014,1,9,1600,24,17,19,19,16
2014,1,9,1700,24,17,19,19,16
2014,1,9,1800,24,17,20,19,16
2014,1,9,1900,24,16,20,18,16
2014,1,9,2000,24,17,21,18,16
2014,1,9,2100,24,17,21,17,16
2014,1,9,2200,24,17,21,18,16
2014,1,9,2300,24,17,21,18,16
2014,1,10,0000,33,24,26,19,23
2014,1,10,0100,25,17,22,18,16
2014,1,10,0200,26,17,22,18,16
2014,1,10,0300,27,18,22,18,17
2014,1,10,0400,27,18,22,18,17
2014,1,10,0500,28,18,22,18,17
2014,1,10,0600,28,18,23,18,18
2014,1,10,0700,28,18,23,18,18
2014,1,10,0800,28,18,23,18,18
2014,1,10,0900,29,18,24,18,18
2014,1,10,1000,29,18,24,18,18
2014,1,10,1100,29,17,23,18,18
2014,1,10,1200,29,18,23,18,18
2014,1,10,1300,29,19,24,18,18
2014,1,10,1400,29,19,24,18,18
2014,1,10,1500,29,20,25,18,19
2014,1,10,1600,31,21,26,19,21
2014,1,10,1700,32,22,27,19,22
2014,1,10,1800,32,23,27,19,23
2014,1,10,1900,32,24,27,19,23
2014,1,10,2000,32,24,27,19,22
2014,1,10,2100,32,24,27,19,23
2014,1,10,2200,32,24,27,19,23
2014,1,10,2300,32,24,27,19,23
2014,1,11,0000,23,14,18,13,13
2014,1,11,0100,32,24,26,19,24
2014,1,11,0200,31,24,25,18,23
2014,1,11,0300,30,23,25,18,22
2014,1,11,0400,29,23,25,17,22
2014,1,11,0500,28,23,25,17,22
2014,1,11,0600,28,22,24,17,21
2014,1,11,0700,27,22,24,17,21
2014,1,11,0800,27,22,25,16,20
2014,1,11,0900,26,21,24,16,20
2014,1,11,1000,25,21,25,16,20
2014,1,11,1100,26,21,25,15,20
2014,1,11,1200,26,21,25,15,20
2014,1,11,1300,26,20,25,15,19
2014,1,11,1400,26,19,24,15,18
2014,1,11,1500,26,18,24,15,18
2014,1,11,1600,25,18,23,15,16
2014,1,11,1700,25,17,22,16,17
2014,1,11,1800,25,17,21,16,17
2014,1,11,1900,25,16,20,16,17
2014,1,11,2000,24,16,19,15,16
2014,1,11,2100,24,15,19,14,14
2014,1,11,2200,23,14,18,13,13
2014,1,11,2300,23,14,18,13,13
2014,1,12,0000,25,20,20,21,18
2014,1,12,0100,23,14,19,13,13
2014,1,12,0200,23,15,19,14,13
2014,1,12,0300,23,15,19,14,13
2014,1,12,0400,24,15,18,14,13
2014,1,12,0500,25,15,19,15,14
2014,1,12,0600,25,16,19,15,14
2014,1,12,0700,26,17,20,16,15
2014,1,12,0800,27,17,20,17,15
2014,1,12,0900,27,18,20,17,16
2014,1,12,1000,28,19,20,18,17
2014,1,12,1100,28,20,20,19,17
2014,1,12,1200,28,20,20,19,17
2014,1,12,1300,28,20,20,19,18
2014,1,12,1400,28,20,20,20,18
2014,1,12,1500,27,20,20,19,18
2014,1,12,1600,27,20,20,19,18
2014,1,12,1700,26,20,19,19,17
2014,1,12,1800,25,19,19,19,17
2014,1,12,1900,25,19,19,19,17
2014,1,12,2000,25,19,20,19,18
2014,1,12,2100,25,20,20,20,18
2014,1,12,2200,26,20,20,20,18
2014,1,12,2300,25,20,20,20,18
2014,1,13,0000,32,29,28,27,27
2014,1,13,0100,25,21,21,20,18
2014,1,13,0200,25,21,21,21,19
2014,1,13,0300,26,22,22,21,19
2014,1,13,0400,26,22,22,21,19
2014,1,13,0500,26,22,22,21,20
2014,1,13,0600,26,22,22,21,20
2014,1,13,0700,26,22,22,21,20
2014,1,13,0800,25,22,22,21,20
2014,1,13,0900,25,22,22,21,20
2014,1,13,1000,26,22,22,21,20
2014,1,13,1100,26,22,22,21,20
2014,1,13,1200,26,23,22,22,21
2014,1,13,1300,27,23,22,22,21
2014,1,13,1400,27,23,22,22,21
2014,1,13,1500,28,24,23,22,22
2014,1,13,1600,29,25,24,24,23
2014,1,13,1700,29,26,25,25,24
2014,1,13,1800,30,27,25,25,24
2014,1,13,1900,30,27,26,25,25
2014,1,13,2000,30,27,27,26,25
2014,1,13,2100,31,28,27,26,25
2014,1,13,2200,31,28,27,26,26
2014,1,13,2300,31,28,27,27,26
2014,1,14,0000,40,35,29,32,32
2014,1,14,0100,33,30,28,27,28
2014,1,14,0200,34,31,28,28,29
2014,1,14,0300,35,32,28,29,29
2014,1,14,0400,36,32,28,29,29
2014,1,14,0500,36,33,28,29,30
2014,1,14,0600,37,33,28,30,30
2014,1,14,0700,37,33,28,30,30
2014,1,14,0800,37,34,28,30,30
2014,1,14,0900,38,34,29,30,31
2014,1,14,1000,38,34,29,30,31
2014,1,14,1100,38,35,30,30,32
2014,1,14,1200,39,35,30,31,32
2014,1,14,1300,39,35,30,31,32
2014,1,14,1400,39,35,30,31,32
2014,1,14,1500,39,35,30,31,32
2014,1,14,1600,39,34,29,31,32
2014,1,14,1700,39,34,29,31,31
2014,1,14,1800,39,34,29,31,31
2014,1,14,1900,40,34,29,31,31
2014,1,14,2000,40,34,29,31,32
2014,1,14,2100,40,35,29,31,31
2014,1,14,2200,40,35,29,31,32
2014,1,14,2300,41,35,29,31,32
2014,1,15,0000,40,38,32,36,35
2014,1,15,0100,40,35,29,31,31
2014,1,15,0200,39,34,28,31,31
2014,1,15,0300,39,34,28,31,30
2014,1,15,0400,38,34,28,31,30
2014,1,15,0500,38,33,28,31,30
2014,1,15,0600,38,34,29,31,30
2014,1,15,0700,38,33,29,32,30
2014,1,15,0800,38,33,29,32,31
2014,1,15,0900,38,33,29,32,31
2014,1,15,1000,38,34,29,33,31
2014,1,15,1100,38,34,29,33,32
2014,1,15,1200,39,34,29,33,32
2014,1,15,1300,39,35,29,33,32
2014,1,15,1400,40,35,29,33,32
2014,1,15,1500,39,35,30,33,33
2014,1,15,1600,39,36,30,34,33
2014,1,15,1700,39,37,31,34,34
2014,1,15,1800,39,37,31,34,34
2014,1,15,1900,39,37,32,35,35
2014,1,15,2000,39,38,32,35,35
2014,1,15,2100,40,38,32,35,35
2014,1,15,2200,40,38,32,35,35
2014,1,15,2300,40,38,32,36,35
2014,1,16,0000,38,38,36,38,37
2014,1,16,0100,40,38,33,36,35
2014,1,16,0200,41,38,33,36,36
2014,1,16,0300,41,38,33,36,36
2014,1,16,0400,41,38,33,36,36
2014,1,16,0500,42,39,34,37,36
2014,1,16,0600,42,39,34,37,36
2014,1,16,0700,42,39,34,37,36
2014,1,16,0800,42,39,35,37,36
2014,1,16,0900,41,39,35,37,36
2014,1,16,1000,41,39,35,37,36
2014,1,16,1100,41,39,35,37,36
2014,1,16,1200,40,39,35,38,36
2014,1,16,1300,40,39,36,38,37
