Year,Quarter,Town,3-room,4-room,5-room,Executive
2013,Q2,Jurong East,345800,435000,580000,*
2013,Q2,Jurong West,333000,430000,522900,600000
2013,Q2,Kallang/Whampoa,359500,539000,*,*
2013,Q2,Marine Parade,*,*,*,-
2013,Q2,Pasir Ris,-,455000,523500,640000
2013,Q2,Punggol,-,482500,542500,*
2013,Q2,Queenstown,391800,693800,*,*
2013,Q2,Sembawang,-,426000,490000,*
2013,Q2,Sengkang,*,486500,532000,620000
2013,Q2,Serangoon,372500,500000,*,*
2013,Q2,Tampines,376000,473000,548000,700000
2013,Q2,Toa Payoh,359000,603000,712500,*
2013,Q2,Woodlands,320000,415000,473000,657500
2013,Q2,Yishun,337000,404000,515000,*
2013,Q1,Ang Mo Kio,368000,488000,667500,-
2013,Q1,Bedok,355000,459000,620000,*
2013,Q1,Bishan,*,555000,740000,*
2013,Q1,Bukit Batok,336000,443000,640000,*
2013,Q1,Bukit Merah,412000,704000,775000,-
2013,Q1,Bukit Panjang,348500,425000,545500,609000
2013,Q1,Bukit Timah,*,*,*,*
2013,Q1,Central,*,*,-,-
2013,Q1,Choa Chu Kang,*,440000,510000,*
2013,Q1,Clementi,390000,547500,*,*
2013,Q1,Geylang,330000,512500,*,-
2013,Q1,Hougang,350500,451000,555000,660000
2013,Q1,Jurong East,350000,455000,542000,*
2013,Q1,Jurong West,320000,445000,515000,601000
2013,Q1,Kallang/Whampoa,349000,547500,717500,*
2013,Q1,Marine Parade,*,*,*,-
2013,Q1,Pasir Ris,*,466500,535000,655000
2013,Q1,Punggol,-,506000,560000,*
2013,Q1,Queenstown,380000,710000,*,-
2013,Q1,Sembawang,-,441000,498500,580000
2013,Q1,Sengkang,*,501500,538500,638000
2013,Q1,Serangoon,378500,470000,*,*
2013,Q1,Tampines,376500,480000,558000,695000
2013,Q1,Toa Payoh,359500,645000,750000,*
2013,Q1,Woodlands,330000,422500,480000,639000
2013,Q1,Yishun,341000,416500,515000,608000
2012,Q4,Ang Mo Kio,366000,495000,649000,*
2012,Q4,Bedok,350000,455000,600000,*
2012,Q4,Bishan,*,532500,*,*
2012,Q4,Bukit Batok,339000,448000,*,*
2012,Q4,Bukit Merah,398000,675000,800000,-
2012,Q4,Bukit Panjang,*,423000,520000,*
2012,Q4,Bukit Timah,*,*,*,*
2012,Q4,Central,*,*,-,-
2012,Q4,Choa Chu Kang,*,436900,499800,*
2012,Q4,Clementi,378500,*,*,*
2012,Q4,Geylang,326500,501000,*,*
2012,Q4,Hougang,359000,446000,548000,*
2012,Q4,Jurong East,343000,455000,592900,*
2012,Q4,Jurong West,338000,432000,513000,592500
2012,Q4,Kallang/Whampoa,377500,530000,*,*
2012,Q4,Marine Parade,*,*,*,-
2012,Q4,Pasir Ris,*,459000,546800,652500
2012,Q4,Punggol,-,518000,565000,*
