Module,Group,Quota,No_of_Bidders,Lowest_Bid,Lowest_Succ_Bid,Highest_Bid,Faculty,newStudent,pAcc,gAcc,Bid_Round,Acad_Yr,Semester
CS1010,SECTIONAL TEACHING 2,6,2,1,1,10,SCHOOL OF COMPUTING,1,1,0,1A,2010,2
CS1010,SECTIONAL TEACHING 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 1,8,0,0,0,0,SCIENCE,0,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 1,7,0,0,0,0,SCIENCE,1,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 1,3,0,0,0,0,SCHOOL OF COMPUTING,1,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 2,9,0,0,0,0,SCIENCE,0,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,SCHOOL OF COMPUTING,0,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 2,5,0,0,0,0,SCIENCE,1,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 2,4,0,0,0,0,SCHOOL OF COMPUTING,1,1,0,1B,2010,2
CS1010,SECTIONAL TEACHING 1,3,2,20,1,2401,ARTS & SOCIAL SCIENCES,2,1,0,2A,2010,2
CS1010,SECTIONAL TEACHING 1,15,0,0,0,0,SCIENCE,2,1,0,2A,2010,2
CS1010,SECTIONAL TEACHING 1,3,0,0,0,0,SCHOOL OF COMPUTING,2,1,0,2A,2010,2
CS1010,SECTIONAL TEACHING 1,1,1,1,1,1,SCHOOL OF COMPUTING,2,0,1,2A,2010,2
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2A,2010,2
CS1010,SECTIONAL TEACHING 2,14,0,0,0,0,SCIENCE,2,1,0,2A,2010,2
CS1010,SECTIONAL TEACHING 2,5,1,1,1,1,SCHOOL OF COMPUTING,2,1,0,2A,2010,2
CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2B,2010,2
CS1010,SECTIONAL TEACHING 1,15,24,1,705,2000,SCIENCE,2,1,0,2B,2010,2
