Date,Price
6/29/2010,23.889999
6/30/2010,23.83
7/1/2010,21.959999
7/2/2010,19.200001
7/6/2010,16.110001
7/7/2010,15.8
7/8/2010,17.459999
7/9/2010,17.4
7/12/2010,17.049999
7/13/2010,18.139999
7/14/2010,19.84
7/15/2010,19.889999
7/16/2010,20.639999
7/19/2010,21.91
7/20/2010,20.299999
7/21/2010,20.219999
7/22/2010,21
7/23/2010,21.290001
7/26/2010,20.950001
7/27/2010,20.549999
7/28/2010,20.719999
7/29/2010,20.35
7/30/2010,19.940001
8/2/2010,20.92
8/3/2010,21.950001
8/4/2010,21.26
8/5/2010,20.450001
8/6/2010,19.59
8/9/2010,19.6
8/10/2010,19.030001
8/11/2010,17.9
8/12/2010,17.6
8/13/2010,18.32
8/16/2010,18.780001
8/17/2010,19.15
8/18/2010,18.77
8/19/2010,18.790001
8/20/2010,19.1
8/23/2010,20.129999
8/24/2010,19.200001
8/25/2010,19.9
8/26/2010,19.75
8/27/2010,19.700001
8/30/2010,19.870001
8/31/2010,19.48
9/1/2010,20.450001
9/2/2010,21.059999
9/3/2010,21.049999
9/7/2010,20.540001
9/8/2010,20.9
9/9/2010,20.709999
9/10/2010,20.17
9/13/2010,20.719999
9/14/2010,21.120001
9/15/2010,21.98
9/16/2010,20.940001
9/17/2010,20.23
9/20/2010,21.059999
9/21/2010,20.77
9/22/2010,19.870001
9/23/2010,19.559999
9/24/2010,20.1
9/27/2010,20.530001
9/28/2010,21.4
9/29/2010,21.98
9/30/2010,20.41
10/1/2010,20.6
10/4/2010,20.99
10/5/2010,21.120001
10/6/2010,20.459999
10/7/2010,20.43
10/8/2010,20.43
10/11/2010,20.24
10/12/2010,20.24
10/13/2010,20.540001
10/14/2010,20.75
10/15/2010,20.540001
10/18/2010,20.23
10/19/2010,20.049999
10/20/2010,20.65
10/21/2010,20.75
10/22/2010,20.719999
10/25/2010,20.85
10/26/2010,21.360001
10/27/2010,21
10/28/2010,21.190001
10/29/2010,21.84
11/1/2010,21.41
11/2/2010,21.25
11/3/2010,21.77
11/4/2010,24.9
11/5/2010,24.440001
11/8/2010,24.98
11/9/2010,24.629999
11/10/2010,29.360001
11/11/2010,28.040001
11/12/2010,29.84
11/15/2010,30.799999
11/16/2010,29.67
11/17/2010,29.49
11/18/2010,29.889999
11/19/2010,30.99
11/22/2010,33.400002
11/23/2010,34.57
11/24/2010,35.470001
11/26/2010,35.32
11/29/2010,34.330002
11/30/2010,35.330002
12/1/2010,34.349998
12/2/2010,32.349998
12/3/2010,31.49
12/6/2010,30.309999
12/7/2010,31.559999
12/8/2010,32.369999
12/9/2010,32.049999
12/10/2010,31.52
12/13/2010,30.549999
12/14/2010,28.530001
12/15/2010,29.6
12/16/2010,30.809999
12/17/2010,31.360001
12/20/2010,31.700001
12/21/2010,32.259998
12/22/2010,32.630001
12/23/2010,30.09
12/27/2010,25.549999
12/28/2010,26.41
12/29/2010,27.73
12/30/2010,26.5
12/31/2010,26.629999
1/3/2011,26.620001
1/4/2011,26.67
1/5/2011,26.83
1/6/2011,27.879999
1/7/2011,28.24
1/10/2011,28.450001
1/11/2011,26.959999
1/12/2011,26.959999
1/13/2011,26.219999
1/14/2011,25.75
1/18/2011,25.639999
1/19/2011,24.030001
1/20/2011,22.620001
1/21/2011,23.040001
1/24/2011,24.49
1/25/2011,24.68
1/26/2011,24.75
1/27/2011,24.92
1/28/2011,24.01
1/31/2011,24.1
2/1/2011,23.91
2/2/2011,23.940001
2/3/2011,23.629999
2/4/2011,23.459999
2/7/2011,23.07
2/8/2011,24.49
2/9/2011,23.209999
2/10/2011,23.219999
2/11/2011,23.25
2/14/2011,23.08
2/15/2011,22.84
2/16/2011,24.73
2/17/2011,23.6
2/18/2011,23.18
2/22/2011,21.870001
2/23/2011,21.83
2/24/2011,22.530001
2/25/2011,23.610001
2/28/2011,23.889999
3/1/2011,23.940001
3/2/2011,24.02
3/3/2011,24.360001
3/4/2011,24.950001
3/7/2011,24.940001
3/8/2011,24.66
3/9/2011,24.719999
3/10/2011,24.01
3/11/2011,24.07
3/14/2011,23.25
3/15/2011,22.950001
3/16/2011,22.82
3/17/2011,22.809999
3/18/2011,22.959999
3/21/2011,22.73
3/22/2011,22.190001
3/23/2011,22.209999
3/24/2011,22.33
3/25/2011,22.75
3/28/2011,23.25
3/29/2011,23.92
3/30/2011,23.709999
3/31/2011,27.75
4/1/2011,26.66
4/4/2011,25.83
4/5/2011,26.700001
4/6/2011,26.49
4/7/2011,27.24
4/8/2011,26.49
4/11/2011,25.27
4/12/2011,24.65
4/13/2011,24.93
4/14/2011,25.139999
4/15/2011,25.58
4/18/2011,25.030001
4/19/2011,25.16
4/20/2011,25.75
4/21/2011,26.74
4/25/2011,26.389999
4/26/2011,26.93
4/27/2011,27.08
4/28/2011,27.66
4/29/2011,27.6
5/2/2011,27.450001
5/3/2011,26.870001
5/4/2011,26.690001
5/5/2011,26.440001
5/6/2011,27.120001
5/9/2011,27.91
5/10/2011,28.33
